EVENT_ID | YEAR | BOOK | GUARDIAN | CHARACTER | ROLE | REGION | SCENE_CONTEXT
001 | 789 | Book 1 | Luca | none | observer | Pollino / Southern Italy | historical context placeholder
002 | 789 | Book 1 | Luca | none | observer | Western Europe | historical context placeholder
003 | 793 | Book 1 | Luca | none | observer | England / Europe-wide awareness later | historical context placeholder
004 | 800 | Book 1 | Luca | none | observer | Rome | historical context placeholder
005 | 802 | Book 1 | Luca | none | observer | Southern Italy | historical context placeholder
006 | 806 | Book 1 | Luca | none | observer | Italy | historical context placeholder
007 | 810 | Book 1 | Luca | none | observer | Calabria / Adriatic awareness | historical context placeholder
008 | 812 | Book 1 | Luca | none | observer | Italy | historical context placeholder
009 | 820 | Book 1 | Luca | none | observer | Calabria / Basilicata | historical context placeholder
010 | 827 | Book 1 | Luca | none | observer | Sicily | historical context placeholder
011 | 840 | Book 1 | Luca | none | observer | Europe | historical context placeholder
012 | 846 | Book 1 | Luca | none | observer | Rome | historical context placeholder
013 | 902 | Book 2 | Elia | none | observer | Sicily | historical context placeholder
014 | 910 | Book 2 | Elia | none | observer | France / European church culture | historical context placeholder
015 | 915 | Book 2 | Elia | none | observer | Southern Italy | historical context placeholder
016 | 927 | Book 2 | Elia | none | observer | Mediterranean | historical context placeholder
017 | 940 | Book 2 | Elia | none | observer | Southern Italy | historical context placeholder
018 | 951 | Book 2 | Elia | none | observer | Northern / Central Italy | historical context placeholder
019 | 962 | Book 2 | Elia | none | observer | Rome | historical context placeholder
020 | 968 | Book 2 | Elia | none | observer | Southern Italy | historical context placeholder
021 | 976 | Book 2 | Marco | none | observer | Byzantium / Southern Italy | historical context placeholder
022 | 982 | Book 2 | Marco | none | observer | Calabria | historical context placeholder
023 | 987 | Book 2 | Marco | none | observer | Europe | historical context placeholder
024 | 989 | Book 2 | Marco | none | observer | France / Europe-wide church culture | historical context placeholder
025 | 1000 | Book 3 | Simonetta | none | observer | Europe / Italy | historical context placeholder
026 | 1009 | Book 3 | Simonetta | none | observer | Jerusalem / Europe | historical context placeholder
027 | 1016 | Book 3 | Simonetta | none | observer | Southern Italy | historical context placeholder
028 | 1030 | Book 3 | Simonetta | none | observer | Campania / Southern Italy | historical context placeholder
029 | 1039 | Book 3 | Simonetta | none | observer | Southern Italy | historical context placeholder
030 | 1048 | Book 3 | Simonetta | none | observer | Rome | historical context placeholder
031 | 1054 | Book 3 | Simonetta / Brother Anselm | none | observer | Rome / Constantinople | historical context placeholder
032 | 1059 | Book 3 | Simonetta / Brother Anselm | none | observer | Southern Italy | historical context placeholder
033 | 1061 | Book 3 | Brother Anselm | none | observer | Sicily | historical context placeholder
034 | 1071 | Book 3 | Brother Anselm | none | observer | Bari / Southern Italy | historical context placeholder
035 | 1073–1085 | Book 3 | Brother Anselm | none | observer | Rome / Europe | historical context placeholder
036 | 1095 | Book 3 | Brother Anselm | none | observer | Europe / Mediterranean | historical context placeholder
037 | 1097 | Book 3 | Brother Anselm | none | observer | Italy / Mediterranean | historical context placeholder
038 | 1099 | Book 3 | Brother Anselm | none | observer | Jerusalem | historical context placeholder
039 | 1101 | Book 3 | Brother Anselm | none | observer | Mediterranean | historical context placeholder
040 | 1110 | Book 3 | Brother Anselm / Caterina | none | observer | Southern Italy | historical context placeholder
041 | 1111 | Book 4 | Caterina | none | observer | Italy / Holy Roman Empire | historical context placeholder
042 | 1122 | Book 4 | Caterina | none | observer | Europe | historical context placeholder
043 | 1130 | Book 4 | Caterina | none | observer | Sicily / Southern Italy | historical context placeholder
044 | 1140 | Book 4 | Caterina | none | observer | Southern Italy | historical context placeholder
045 | 1147–1149 | Book 4 | Caterina | none | observer | Europe / Mediterranean | historical context placeholder
046 | 1154 | Book 4 | Caterina | none | observer | Southern Italy / Mediterranean | historical context placeholder
047 | 1169 | Book 4 | Caterina | none | observer | Sicily | historical context placeholder
048 | 1183 | Book 4 | Caterina | none | observer | Italy | historical context placeholder
049 | 1187 | Book 4 | Caterina | none | observer | Levant / Europe | historical context placeholder
050 | 1194 | Book 4 | Caterina | none | observer | Italy / Sicily | historical context placeholder
051 | 1204 | Book 4 | Caterina | none | observer | Constantinople | historical context placeholder
052 | 1212 | Book 4 | Caterina | none | observer | Europe | historical context placeholder
053 | 1220 | Book 4 | Caterina / Amara | none | observer | Rome | historical context placeholder
054 | 1224 | Book 4 | Amara | none | observer | Southern Italy | historical context placeholder
055 | 1231 | Book 4 | Amara | none | observer | Southern Italy / Sicily | historical context placeholder
056 | 1239 | Book 4 | Amara | none | observer | Italy | historical context placeholder
057 | 1241 | Book 4 | Amara | none | observer | Europe | historical context placeholder
058 | 1248 | Book 4 | Amara | none | observer | Mediterranean / Europe | historical context placeholder
059 | 1250 | Book 4 | Amara | none | observer | Southern Italy / Sicily | historical context placeholder
060 | 1266 | Book 4 | Amara | none | observer | Southern Italy | historical context placeholder
061 | 1282 | Book 4 | Amara | none | observer | Sicily | historical context placeholder
062 | 1291 | Book 4 | Amara | none | observer | Eastern Mediterranean | historical context placeholder
063 | 1300 | Book 4 | Amara | none | observer | Rome | historical context placeholder
064 | 1302 | Book 4 | Amara | none | observer | Europe | historical context placeholder
065 | 1309 | Book 4 | Amara | none | observer | Western Christendom | historical context placeholder
066 | 1310 | Book 4 | Amara / Giacomo | none | observer | Italy | historical context placeholder
067 | 1315–1317 | Book 5 | Giacomo | none | observer | Europe | historical context placeholder
068 | 1320 | Book 5 | Giacomo | none | observer | Europe / Italy | historical context placeholder
069 | 1337 | Book 5 | Giacomo | none | observer | Western Europe / trade implications | historical context placeholder
070 | 1347 | Book 5 | Giacomo | none | observer | Sicily / Italy | historical context placeholder
071 | 1348 | Book 5 | Giacomo | none | observer | Italy | historical context placeholder
072 | 1349 | Book 5 | Giacomo | none | observer | Europe / Italy | historical context placeholder
073 | 1351 | Book 5 | Giacomo | none | observer | Europe | historical context placeholder
074 | 1361 | Book 5 | Giacomo | none | observer | Europe / Italy | historical context placeholder
075 | 1377 | Book 5 | Giacomo | none | observer | Rome | historical context placeholder
076 | 1378 | Book 5 | Giacomo | none | observer | Rome / Europe | historical context placeholder
077 | 1381 | Book 5 | Giacomo | none | observer | Europe | historical context placeholder
078 | 1389 | Book 5 | Giacomo | none | observer | Balkans / Europe | historical context placeholder
079 | 1397 | Book 5 | Giacomo | none | observer | Italy | historical context placeholder
080 | 1400 | Book 5 | Giacomo | none | observer | Italy | historical context placeholder
081 | 1415 | Book 6 | Orsolina | none | observer | France / Europe | historical context placeholder
082 | 1417 | Book 6 | Orsolina | none | observer | Europe | historical context placeholder
083 | 1434 | Book 6 | Orsolina | none | observer | Florence / Italy | historical context placeholder
084 | 1450 | Book 6 | Orsolina | none | observer | Europe | historical context placeholder
085 | 1453 | Book 6 | Orsolina | none | observer | Constantinople / Italy | historical context placeholder
086 | 1469 | Book 6 | Orsolina | none | observer | Florence | historical context placeholder
087 | 1478 | Book 6 | Orsolina | none | observer | Florence | historical context placeholder
088 | 1485 | Book 6 | Orsolina | none | observer | Italy | historical context placeholder
089 | 1492 | Book 6 | Orsolina | none | observer | Spain / Europe | historical context placeholder
090 | 1494 | Book 6 | Orsolina | none | observer | Italy | historical context placeholder
091 | 1498 | Book 6 | Orsolina | none | observer | Florence | historical context placeholder
092 | 1503 | Book 6 | Orsolina | none | observer | Rome | historical context placeholder
093 | 1517 | Book 6 | Pietro | none | observer | Europe | historical context placeholder
094 | 1519–1522 | Book 6 | Pietro | none | observer | Global / Europe | historical context placeholder
095 | 1525 | Book 6 | Pietro | none | observer | Northern Italy | historical context placeholder
096 | 1527 | Book 6 | Pietro | none | observer | Rome | historical context placeholder
097 | 1543 | Book 6 | Pietro | none | observer | Europe | historical context placeholder
098 | 1555 | Book 6 | Pietro | none | observer | Central Europe | historical context placeholder
099 | 1563 | Book 6 | Pietro | none | observer | Europe / Italy | historical context placeholder
100 | 1564 | Book 6 | Pietro | none | observer | Italy | historical context placeholder
101 | 1571 | Book 6 | Pietro | none | observer | Mediterranean | historical context placeholder
102 | 1582 | Book 6 | Pietro | none | observer | Catholic Europe / Italy | historical context placeholder
103 | 1588 | Book 6 | Pietro | none | observer | Europe | historical context placeholder
104 | 1600 | Book 6 | Pietro | none | observer | Rome | historical context placeholder
105 | 1609 | Book 6 | Pietro | none | observer | Padua / Italy | historical context placeholder
106 | 1618 | Book 6 | Pietro | none | observer | Central Europe / wider implications | historical context placeholder
107 | 1623 | Book 7 | Domenico | none | observer | Rome | historical context placeholder
108 | 1633 | Book 7 | Domenico | none | observer | Rome | historical context placeholder
109 | 1648 | Book 7 | Domenico | none | observer | Europe | historical context placeholder
110 | 1656 | Book 7 | Domenico | none | observer | Southern Italy | historical context placeholder
111 | 1666 | Book 7 | Domenico | none | observer | Europe | historical context placeholder
112 | 1687 | Book 7 | Domenico | none | observer | Europe | historical context placeholder
113 | 1693 | Book 7 | Domenico | none | observer | Sicily | historical context placeholder
114 | 1701 | Book 7 | Domenico | none | observer | Europe / Italy | historical context placeholder
115 | 1713 | Book 7 | Agata | none | observer | Europe / Italy | historical context placeholder
116 | 1734 | Book 7 | Agata | none | observer | Southern Italy | historical context placeholder
117 | 1755 | Book 7 | Agata | none | observer | Europe | historical context placeholder
118 | 1764 | Book 7 | Agata | none | observer | Italy / Europe | historical context placeholder
119 | 1776 | Book 7 | Agata | none | observer | Atlantic world / Europe | historical context placeholder
120 | 1789 | Book 7 | Agata | none | observer | France / Europe | historical context placeholder
121 | 1798–1799 | Book 8 | Agata | none | observer | Italy | historical context placeholder
122 | 1804 | Book 8 | Emilio | none | observer | Europe | historical context placeholder
123 | 1815 | Book 8 | Emilio | none | observer | Europe / Italy | historical context placeholder
124 | 1820–1821 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
125 | 1831 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
126 | 1848 | Book 8 | Emilio | none | observer | Europe / Italy | historical context placeholder
127 | 1859 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
128 | 1860 | Book 8 | Emilio | none | observer | Southern Italy / Sicily | historical context placeholder
129 | 1861 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
130 | 1866 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
131 | 1870 | Book 8 | Emilio | none | observer | Rome | historical context placeholder
132 | 1871 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
133 | 1882 | Book 8 | Emilio | none | observer | Italy | historical context placeholder
134 | 1883 | Book 8 | Emilio | none | observer | Global / climate effects | historical context placeholder
135 | 1890s | Book 8 | Emilio | none | observer | Italy | historical context placeholder
136 | 1896 | Book 8 | Emilio | none | observer | Italy / Eritrea / national mood | historical context placeholder
137 | 1908 | Book 9 | Rosa | none | observer | Sicily / Calabria | historical context placeholder
138 | 1911–1912 | Book 9 | Rosa | none | observer | Italy / Mediterranean | historical context placeholder
139 | 1914 | Book 9 | Rosa | none | observer | Europe | historical context placeholder
140 | 1915 | Book 9 | Rosa | none | observer | Italy | historical context placeholder
141 | 1916 | Book 9 | Rosa | none | observer | Northeastern Italy | historical context placeholder
142 | 1917 | Book 9 | Rosa | none | observer | Italy | historical context placeholder
143 | 1918 | Book 9 | Rosa | none | observer | Europe | historical context placeholder
144 | 1918–1919 | Book 9 | Rosa | none | observer | Global / Italy | historical context placeholder
145 | 1919 | Book 9 | Rosa | none | observer | Italy | historical context placeholder
146 | 1922 | Book 9 | Rosa | none | observer | Italy | historical context placeholder
147 | 1929 | Book 9 | Rosa | none | observer | Rome / Italy | historical context placeholder
148 | 1935–1936 | Book 9 | Rosa | none | observer | Italy / empire politics | historical context placeholder
149 | 1938 | Book 9 | Rosa | none | observer | Italy | historical context placeholder
