ITALUS_HISTORICAL_CHARACTER_INTERACTION_MAP
Expanded Historical Character Interaction Map
Canonical Support File for the Italus Historical Saga

PURPOSE
This document provides a stronger, historically grounded interaction layer
for the Italus saga by matching real historical figures to valid event anchors,
books, guardians, regions, and plausible scene contexts.

USAGE RULES
1. Every row must align to a valid EVENT_ID in ITALUS_HISTORICAL_EVENT_BACKBONE.
2. The listed guardian must match the guardian assigned to the event year.
3. Historical figures must be alive in the listed year or date range.
4. Historical figures may be encountered directly, indirectly, by rumor, through envoys, documents, sermons, markets, ports, camps, courts, or returning witnesses.
5. Italus and guardians may observe or interact at the edges of history, but do not alter outcomes.

FORMAT
EVENT_ID | YEAR | BOOK | GUARDIAN | CHARACTER | ROLE | REGION | SCENE_CONTEXT

002 | 789 | Book 1 | Luca | Charlemagne | Frankish ruler | Western Europe | Travelers and monks discuss Carolingian expansion and the reach of Frankish power.
002 | 789 | Book 1 | Luca | Alcuin of York | Scholar and adviser | Carolingian world | Monks repeat ideas from Alcuin's reforms in schools and scriptoria.
004 | 800 | Book 1 | Luca | Pope Leo III | Pope | Rome | Pilgrims recount the imperial coronation in Rome.
005 | 802 | Book 1 | Luca | Nikephoros I | Byzantine emperor | Byzantine Italy | Officials discuss imperial tax and frontier policy.
008 | 812 | Book 1 | Luca | Michael I Rangabe | Byzantine emperor | Byzantine world | Merchants speak of settlements between Franks and Byzantines.
009 | 820 | Book 1 | Luca | Benedict of Aniane | Monastic reformer | Latin monastic networks | Monks describe stricter observance and reform currents.
010 | 827 | Book 1 | Luca | Ziyadat Allah I | Aghlabid emir | Sicily / Ifriqiya | Coastal rumors spread about Muslim fleets crossing toward Sicily.
011 | 840 | Book 1 | Luca | Louis the Pious | Carolingian emperor | Western Europe | Pilgrims speak of succession crisis after imperial death.
011 | 840 | Book 1 | Luca | Lothair I | Carolingian ruler | Western Europe | Merchants discuss civil conflict among Charlemagne's heirs.
012 | 846 | Book 1 | Luca | Pope Sergius II | Pope | Rome | Refugees describe the Arab raid and panic around Rome.
003 | 793 | Book 1 | Luca | King Aethelred I | Northumbrian king | England | Northern traders describe the shock of Viking raids.
007 | 810 | Book 1 | Luca | Leo V the Armenian | Byzantine emperor | Byzantine world | Soldiers debate imperial instability and military threats.
009 | 820 | Book 1 | Luca | Thomas of Farfa | Monastic chronicler | Italy | A scribe references growing monastic land records and memory keeping.
010 | 827 | Book 1 | Luca | Asad ibn al-Furat | Jurist and military leader | Sicily / Ifriqiya | Seafarers name the scholar-warrior leading the invasion.
013 | 902 | Book 2 | Elia | Ibrahim II | Aghlabid ruler | Sicily | Villagers discuss the final Muslim consolidation of Sicily.
014 | 910 | Book 2 | Elia | William I of Aquitaine | Duke and founder | France | Pilgrims mention the new abbey at Cluny and reform patronage.
014 | 910 | Book 2 | Elia | Berno of Cluny | Abbot | France | Monks discuss stricter discipline associated with Cluny.
015 | 915 | Book 2 | Elia | Pope John X | Pope | Southern Italy | Clergy recount the coalition victory at Garigliano.
016 | 927 | Book 2 | Elia | al-Mahdi Billah | Fatimid caliph | Mediterranean | Merchants describe Fatimid expansion and new trade pressures.
018 | 951 | Book 2 | Elia | Otto I | Holy Roman Emperor | Italy / Germany | Imperial envoys and monks speak of Otto's ambitions in Italy.
019 | 962 | Book 2 | Elia | Otto I | Holy Roman Emperor | Rome | Pilgrims recount his coronation and claims of renewed empire.
019 | 962 | Book 2 | Elia | Pope John XII | Pope | Rome | Clerics argue over papal weakness and imperial protection.
020 | 968 | Book 2 | Elia | Patriarch Polyeuctus | Patriarch | Byzantium | Greek clergy echo disputes between eastern and western churches.
020 | 968 | Book 2 | Elia | Nikephoros II Phokas | Byzantine emperor | Byzantine Italy | Officials discuss changing imperial priorities in the south.
022 | 982 | Book 2 | Marco | Otto II | Holy Roman Emperor | Calabria | Battle survivors carry stories of defeat at Stilo.
022 | 982 | Book 2 | Marco | Abu al-Qasim | Kalbid emir | Calabria / Sicily | Soldiers mention the Muslim commander tied to the battle's outcome.
023 | 987 | Book 2 | Marco | Hugh Capet | King of France | France | Travelers explain a new royal dynasty in France.
024 | 989 | Book 2 | Marco | Odilo of Cluny | Abbot | France | Pilgrims discuss peace movements and monastic influence.
024 | 989 | Book 2 | Marco | Adalbero of Laon | Bishop | France | Clerics argue over power, peace, and the ordering of society.
021 | 976 | Book 2 | Marco | Basil II | Byzantine emperor | Byzantine world | Officials speak of imperial instability before Basil's dominance solidifies.
025 | 1000 | Book 3 | Simonetta | Otto III | Holy Roman Emperor | Italy / Germany | Pilgrims discuss millennial fears and imperial pilgrimage culture.
025 | 1000 | Book 3 | Simonetta | Pope Sylvester II | Pope and scholar | Rome | Clergy repeat stories of a pope interested in astronomy and learning.
026 | 1009 | Book 3 | Simonetta | al-Hakim bi-Amr Allah | Fatimid caliph | Jerusalem / Mediterranean | Monks condemn the destruction of the Holy Sepulchre.
027 | 1016 | Book 3 | Simonetta | Melus of Bari | Lombard rebel | Southern Italy | Mercenaries and locals discuss Lombard revolts and Norman service.
027 | 1016 | Book 3 | Simonetta | Ranulf Drengot | Norman mercenary leader | Southern Italy | Camp followers speak of Normans who fight for pay and land.
028 | 1030 | Book 3 | Simonetta | Rainulf Drengot | Norman count | Campania | Roadside officials discuss the new County of Aversa.
